scene,iteration,noise,rot_error,pos_error,time,pass
28,0,0.0,0.5841,1.9144,11.3363,True
28,0,1e-05,0.5901,2.0247,10.6462,True
28,0,5e-05,0.3129,1.7675,10.7466,True
28,0,0.0001,0.3184,2.0007,10.7938,True
28,0,0.0005,1.0767,2.0373,11.6836,True
28,0,0.001,0.4037,2.6478,12.6782,True
28,0,0.005,163.8074,1138.4934,17.2089,False
28,1,0.0,0.4629,1.8376,11.0648,True
28,1,1e-05,0.8764,2.0089,11.5121,True
28,1,5e-05,0.4578,1.9069,11.5273,True
28,1,0.0001,0.3026,1.9369,10.8828,True
28,1,0.0005,0.6797,2.2083,11.1995,True
28,1,0.001,0.4337,2.5608,12.0583,True
28,1,0.005,163.8074,1138.4934,16.9935,False
28,2,0.0,0.8183,1.7914,11.3086,True
28,2,1e-05,0.6376,1.7492,11.1644,True
28,2,5e-05,0.5860,1.7275,10.9008,True
28,2,0.0001,0.5266,1.9349,11.7967,True
28,2,0.0005,0.7872,2.3692,12.0157,True
28,2,0.001,2.2624,2.5215,12.8431,True
28,2,0.005,157.1826,444.9778,19.7973,False
28,3,0.0,0.5071,2.0670,11.9944,True
28,3,1e-05,0.5947,1.7336,10.6302,True
28,3,5e-05,0.3441,1.7423,10.9350,True
28,3,0.0001,0.3096,1.9270,10.8234,True
28,3,0.0005,1.0575,2.5056,11.4195,True
28,3,0.001,0.2597,2.5255,12.0174,True
28,3,0.005,163.8074,1138.4934,16.4583,False
28,4,0.0,1.1235,1.9821,11.3270,True
28,4,1e-05,0.3292,1.9120,10.7230,True
28,4,5e-05,0.4042,1.6521,11.3604,True
28,4,0.0001,0.2703,1.9065,11.4325,True
28,4,0.0005,0.1820,1.9948,11.9296,True
28,4,0.001,0.5160,2.8133,12.8170,True
28,4,0.005,163.8074,1138.4934,16.0463,False
58,0,0.0,0.6770,1.6843,12.0072,True
58,1,0.0,1.2520,1.8876,11.7842,True
58,2,0.0,0.7629,1.8657,11.6322,True
58,3,0.0,0.6668,1.7098,11.6624,True
58,4,0.0,0.8880,1.7542,11.5342,True
158,0,0.0,0.5359,1.7110,11.3044,True
158,1,0.0,0.7954,1.6456,11.1302,True
158,2,0.0,0.9690,1.8796,11.4766,True
158,3,0.0,0.9202,1.8112,12.3194,True
158,4,0.0,0.5450,1.5450,11.8025,True
1032,0,0.0,0.9025,1.9422,11.4854,True
1032,1,0.0,0.5129,1.8450,11.4000,True
1032,2,0.0,0.4303,1.9198,11.4539,True
1032,3,0.0,0.5472,1.7558,11.6002,True
1032,4,0.0,0.6932,1.8316,11.4968,True
1091,0,0.0,1.3625,1.5298,12.2455,True
1091,1,0.0,0.8859,1.6922,11.0305,True
1091,2,0.0,2.0147,2.2594,10.8877,True
1091,3,0.0,0.8301,1.6537,10.9640,True
1091,4,0.0,0.9920,1.5925,11.0009,True
